Station,Postcode,Latitude,Longitude,TLC,NLC,Owner,Entries and exits 2024, Interchanges 2024
Abbey Wood,SE2 9RH,51.4910605627019,0.121394025366647,ABW,5131,TfL Rail,10655006,1888592
Aber,CF83 1AQ,51.5749691125956,-3.22982905106563,ABE,3813,TfW Rail,136896,0
Abercynon,CF45 4SE,51.6447124034837,-3.32698855170195,ACY,3801,TfW Rail,144514,15129
Aberdare,CF44 0PU,51.7150618291708,-3.44308409477462,ABA,3982,TfW Rail,238580,0
Aberdeen,AB11 6LX,57.1437058328662,-2.09868538622245,ABD,8976,ScotRail,2287858,202181
Aberdour,KY3 0SN,56.0545955695197,-3.30056061487314,AUR,9090,ScotRail,105028,0
Aberdovey,LL35 0NR,52.5439615025967,-4.05706796158074,AVY,4435,TfW Rail,37538,0
Abererch,LL53 6PJ,52.8985884658899,-4.37417647351973,ABH,4440,TfW Rail,2306,0
Abergavenny,NP7 5HS,51.8166930409601,-3.00964730040687,AGV,3602,TfW Rail,402456,0
Abergele and Pensarn,LL22 7PR,53.2945771647609,-3.58262268840784,AGL,2448,TfW Rail,94890,0
Aberystwyth,SY23 1LH,52.4140498933205,-4.08189442746786,AYW,4303,TfW Rail,276076,2
Accrington,BB5 1LJ,53.7529733751372,-2.36954810226505,ACR,2552,Northern Trains,473720,0
Achanalt,IV23 2QD,57.6096018732679,-4.91385256332031,AAT,8600,ScotRail,506,0
Achnasheen,IV22 2EJ,57.5792959197415,-5.07233352893289,ACN,8601,ScotRail,3980,0
Achnashellach,IV54 8YH,57.4820809030767,-5.33305678830677,ACH,8602,ScotRail,1004,0
Acklington,NE65 4DE,55.3070993237817,-1.65183479633575,ACK,7662,Northern Trains,550,0
Acle,NR13 3BZ,52.6346777628319,1.54391497575916,ACL,7286,Greater Anglia,41334,0
Acocks Green,B27 6EB,52.4493240670217,-1.81897562150643,ACG,4529,West Midlands Trains (West Midlands Railway),372298,0
Acton Bridge (Cheshire),CW8 2RE,53.2665097605329,-2.60312690733168,ACB,2287,West Midlands Trains (London Northwestern Railway),44682,0
Acton Central,W3 6BH,51.5087150057177,-0.262970693276422,ACC,1404,London Overground,1558028,0
Acton Main Line,W3 9EH,51.5171788796431,-0.266756440210259,AML,3000,TfL Rail,2234516,0
Adderley Park,B9 4TG,52.4830872932844,-1.85594463679675,ADD,1036,West Midlands Trains (West Midlands Railway),138118,0
Addiewell,EH55 8NQ,55.8434130805542,-3.60652712168835,ADW,9310,ScotRail,17680,0
Addlestone,KT15 2PB,51.3730447500684,-0.48445679693337,ASN,5550,South Western Railway,330652,0
Adisham,CT3 3JE,51.2411978022143,1.19908904695378,ADM,5160,Southeastern,26744,0
Adlington (Cheshire),SK10 4NA,53.3195557900317,-2.13356274381038,ADC,2939,Northern Trains,26046,0
Adlington (Lancashire),PR6 9RS,53.6132468473224,-2.6030711963325,ADL,2641,Northern Trains,142894,0
Adwick,DN6 7AJ,53.5723210050351,-1.180356329611,AWK,8353,Northern Trains,142938,0
Aigburth,L17 6AG,53.3645680055959,-2.92715540113816,AIG,2255,Merseyrail,638404,0
Ainsdale,PR8 3HJ,53.6020355257546,-3.04265252059266,ANS,2350,Merseyrail,947558,0
Aintree,L9 5BE,53.4739127558616,-2.95628079876913,AIN,2125,Merseyrail,908962,0
Airbles,ML1 2SX,55.7828378389089,-3.99419330717581,AIR,9695,ScotRail,110728,0
Airdrie,ML6 9EX,55.8639835131324,-3.98291292517007,ADR,9759,ScotRail,774562,0
Albany Park,DA5 3HP,51.4354507399114,0.12573706592842,AYP,5132,Southeastern,660904,0
Albrighton,WV7 3DS,52.6379442676754,-2.26890024505565,ALB,4614,West Midlands Trains (West Midlands Railway),91340,0
Alderley Edge,SK9 7QA,53.3037821045932,-2.23679936267512,ALD,2760,Northern Trains,239442,0
Aldermaston,RG7 4LB,51.4019618556841,-1.1374239270022,AMT,3145,Great Western Railway,57022,0
Aldershot,GU11 1HN,51.2464179114788,-0.759859888333875,AHT,5623,South Western Railway,1229064,91915
Aldrington,BN3 5AE,50.8363824121951,-0.183821512855377,AGT,5280,Govia Thameslink Railway (Southern),139908,0
Alexandra Palace,N22 7ST,51.5979224924556,-0.120235220128854,AAP,6025,Govia Thameslink Railway (Great Northern),1595988,39862
Alexandra Parade,G31 3JN,55.8631759802332,-4.21064896878422,AXP,9905,ScotRail,362228,0
Alexandria,G83 0UL,55.9850887680667,-4.57748537031666,ALX,9861,ScotRail,176956,0
Alfreton,DE55 7JQ,53.1004322999438,-1.36969621564025,ALF,1805,East Midlands Railway,316196,0
Allens West,TS16 0PF,54.5246233650745,-1.36111683481751,ALW,7520,Northern Trains,85356,0
Alloa,FK10 1BA,56.1177936041036,-3.79005640302655,ALO,9883,ScotRail,496520,0
Alness,IV17 0SE,57.6943991747966,-4.24971726526612,ASS,8605,ScotRail,20928,0
Alnmouth,NE66 3QF,55.3927786386397,-1.63663783937358,ALM,7787,Northern Trains,353254,111
Alresford (Essex),CO7 8AA,51.8539974379073,0.997436403040026,ALR,6847,Greater Anglia,85564,0
Alsager,ST7 2XW,53.0930054110113,-2.29905784069112,ASG,1223,East Midlands Railway,101420,0
Althorne (Essex),CM3 6DG,51.6478675266105,0.75248341471277,ALN,6869,Greater Anglia,29314,0
Althorpe,DN17 3HL,53.5855003548442,-0.733182290833722,ALP,6532,Northern Trains,3294,0
Altnabreac,KW12 6UR,58.3881525009701,-3.7062809681672,ABC,8606,ScotRail,250,0
Alton,GU34 2PZ,51.1519686627366,-0.966913302570746,AON,5544,South Western Railway,544058,0
Altrincham,WA14 1EN,53.3877187203289,-2.34688910433965,ALT,2806,Northern Trains,273008,16
Alvechurch,B48 7SE,52.3460721156993,-1.96766073187852,ALV,1198,West Midlands Trains (West Midlands Railway),151042,0
Ambergate,DE56 2EN,53.0605170840145,-1.48069758186533,AMB,1678,East Midlands Railway,34922,0
Amberley,BN18 9LT,50.8966791881016,-0.541992407726222,AMY,5250,Govia Thameslink Railway (Southern),70836,0
Amersham,HP6 5AZ,51.6742050968552,-0.607596139216709,AMR,506,London Underground,1766908,0
Ammanford,SA18 2DD,51.7959795450084,-3.99673575596767,AMF,4236,TfW Rail,16062,0
Ancaster,NG32 3RA,52.9876865844111,-0.535623734022494,ANC,6358,East Midlands Railway,5484,0
Anderston,G3 8RR,55.8599021238713,-4.27098003165416,AND,9965,ScotRail,368574,0
Andover,SP10 3HW,51.2115476149434,-1.49223307188506,ADV,5510,South Western Railway,1023710,4323
Anerley,SE20 8PY,51.4121513855632,-0.0658859220340606,ANZ,5397,London Overground,944622,0
Angel Road,N18 3AY,51.61240330726,-0.0487914234374522,AGR,6909,Greater Anglia,,
Angmering,BN16 3RE,50.8165743892467,-0.489394019247872,ANG,5267,Govia Thameslink Railway (Southern),719952,0
Annan,DG12 6AS,54.9838388790739,-3.2625810423293,ANN,9451,ScotRail,128040,0
Anniesland,G12 0AY,55.8893555064876,-4.32195784208586,ANL,9972,ScotRail,936024,0
Ansdell and Fairhaven,FY8 1AG,53.7414654744213,-2.99303444657805,AFV,2662,Northern Trains,45500,0
Apperley Bridge,BD10 0FD,53.8417501065548,-1.70582867126391,APY,8562,Northern Trains,388504,0
Appleby,CA16 6TT,54.5803488158896,-2.48669258391647,APP,2052,Northern Trains,56512,0
Appledore (Kent),TN26 2DG,51.0332342031393,0.816341504124954,APD,5003,Govia Thameslink Railway (Southern),28764,0
Appleford,OX14 4PJ,51.6396415502262,-1.24214153179695,APF,3109,Great Western Railway,7306,0
Appley Bridge,WN6 9AE,53.5786734960166,-2.71925251339081,APB,2396,Northern Trains,129034,0
Apsley,HP3 9SX,51.7325208234117,-0.462934812195194,APS,1430,West Midlands Trains (London Northwestern Railway),472812,0
Arbroath,DD11 1RQ,56.5595762979872,-2.58893177406225,ARB,9079,ScotRail,359108,2142
Ardgay,IV24 3AQ,57.8814576101148,-4.36209023833324,ARD,8613,ScotRail,5674,0
Ardlui,G83 7DT,56.3019723653141,-4.72165858161935,AUI,9962,ScotRail,4118,0
Ardrossan Harbour,KA22 8BH,55.6398782290401,-4.82111163323781,ADS,9453,ScotRail,107452,0
Ardrossan South Beach,KA22 8AU,55.641422142645,-4.80121264089138,ASB,9569,ScotRail,171736,314
Ardrossan Town,KA22 8AU,55.6397124556587,-4.81267645169651,ADN,9455,ScotRail,17304,0
Ardwick,M12 6LY,53.471345820655,-2.21388417456067,ADK,2960,Northern Trains,396,0
Argyle Street,G2 8DL,55.8573090626122,-4.25069486323156,AGS,9961,ScotRail,1270566,0
Arisaig,PH39 4NJ,56.9125537431151,-5.83907949880085,ARG,8821,ScotRail,6078,0
Arlesey,SG15 6XA,52.0260300130868,-0.266319838272065,ARL,6171,Govia Thameslink Railway (Great Northern),592464,0
Armadale (West Lothian),EH48 3LP,55.8857140292087,-3.69541334262219,ARM,990,ScotRail,213400,0
Armathwaite,CA4 9PL,54.8094679848183,-2.77207147292765,AWT,2054,Northern Trains,11432,0
Arnside,LA5 0HQ,54.2027315043991,-2.82824189170434,ARN,1963,Northern Trains,106286,0
Arram,HU17 7NR,53.8843427696163,-0.426570132093475,ARR,8045,Northern Trains,1790,0
Arrochar and Tarbet,G83 7DB,56.2039766194239,-4.72277124702392,ART,9963,ScotRail,21686,0
Arundel,BN18 9PH,50.84821399905,-0.546174298416944,ARU,5251,Govia Thameslink Railway (Southern),279888,0
